Home,Away,HG,AG,HAP,AAP,HLP,ALP,HAG,AAG,HAAG,AAAG
Everton,Bournemouth,2,0,1.286,1.286,3,4,1.476,1.476,1.476,1.905
Tottenham,Man United,0,1,2.286,1.81,12,12,2.19,2.048,1.0,1.524
Man City,Wolves,3,0,2.381,1.381,9,7,2.667,1.095,0.81,1.19
Arsenal,Chelsea,2,0,1.864,2.136,7,10,2.091,1.818,1.455,0.773
Bournemouth,West Ham,2,0,1.227,1.409,4,7,1.409,1.364,1.909,1.455
Liverpool,Crystal Palace,4,3,2.591,1.0,12,7,2.273,0.909,0.455,1.273
Man United,Brighton,2,1,1.864,1.182,15,5,2.0,1.091,1.455,1.364
Newcastle,Cardiff,3,0,0.818,0.864,2,5,0.727,0.864,1.409,1.864
Southampton,Everton,2,1,0.864,1.364,7,6,1.045,1.5,1.773,1.409
Watford,Burnley,0,0,1.455,0.955,8,9,1.455,1.045,1.455,1.955
Wolves,Leicester,4,3,1.318,1.409,4,9,1.045,1.182,1.273,1.136
Fulham,Tottenham,1,2,0.636,2.182,5,9,0.909,2.091,2.227,1.0
Huddersfield,Man City,0,3,0.5,2.409,1,9,0.591,2.682,1.682,0.773
Arsenal,Cardiff,2,1,1.913,0.826,7,5,2.087,0.826,1.391,1.913
Fulham,Brighton,4,2,0.609,1.13,4,5,0.913,1.087,2.217,1.391
Huddersfield,Everton,0,1,0.478,1.304,1,6,0.565,1.478,1.739,1.435
Man United,Burnley,2,2,1.913,0.957,15,10,2.0,1.0,1.435,1.87
Newcastle,Man City,2,1,0.913,2.435,4,12,0.826,2.696,1.348,0.739
Wolves,West Ham,3,0,1.391,1.348,7,7,1.174,1.304,1.348,1.478
Bournemouth,Chelsea,4,0,1.304,2.043,4,10,1.435,1.739,1.826,0.826
Liverpool,Leicester,1,1,2.609,1.348,12,6,2.348,1.261,0.565,1.261
Southampton,Crystal Palace,1,1,0.957,0.957,7,4,1.087,1.0,1.739,1.391
Tottenham,Watford,2,1,2.217,1.435,9,6,2.087,1.391,1.0,1.391
Brighton,Watford,0,0,1.083,1.375,4,6,1.125,1.375,1.5,1.417
Burnley,Southampton,1,1,0.958,0.958,11,8,1.042,1.083,1.875,1.708
Cardiff,Bournemouth,2,0,0.792,1.375,4,7,0.833,1.542,1.917,1.75
Chelsea,Huddersfield,5,0,1.958,0.458,7,1,1.667,0.542,0.958,1.708
Crystal Palace,Fulham,2,0,0.958,0.708,4,6,1.0,1.042,1.375,2.208
Everton,Wolves,1,3,1.375,1.458,6,9,1.458,1.25,1.375,1.292
Tottenham,Newcastle,1,0,2.25,1.0,9,7,2.083,0.875,1.0,1.333
Leicester,Man United,0,1,1.333,1.875,4,13,1.25,2.0,1.25,1.458
Man City,Arsenal,3,1,2.333,1.958,12,9,2.625,2.083,0.792,1.375
West Ham,Liverpool,1,1,1.292,2.542,4,10,1.25,2.292,1.542,0.583
Everton,Man City,0,2,1.32,2.36,6,12,1.44,2.64,1.44,0.8
Brighton,Burnley,1,3,1.08,0.96,2,9,1.08,1.04,1.44,1.84
Crystal Palace,West Ham,1,1,1.04,1.28,7,5,1.04,1.24,1.32,1.52
Fulham,Man United,0,3,0.68,1.92,3,13,1.0,1.96,2.2,1.4
Huddersfield,Arsenal,1,2,0.44,1.88,1,9,0.52,2.04,1.84,1.44
Liverpool,Bournemouth,3,0,2.48,1.32,8,7,2.24,1.48,0.6,1.76
Southampton,Cardiff,1,2,0.96,0.88,9,4,1.08,0.88,1.68,1.84
Watford,Everton,1,0,1.36,1.269,6,6,1.32,1.385,1.36,1.462
Man City,Chelsea,6,0,2.385,2.0,12,7,2.615,1.8,0.769,0.92
Tottenham,Leicester,3,1,2.28,1.28,12,4,2.04,1.2,0.96,1.24
Wolves,Newcastle,1,1,1.52,0.96,9,6,1.32,0.84,1.28,1.32
Cardiff,Watford,1,5,0.962,1.423,7,8,0.923,1.308,1.808,1.308
West Ham,Fulham,3,1,1.269,0.654,5,3,1.231,0.962,1.5,2.231
Bournemouth,Wolves,1,1,1.269,1.5,6,10,1.423,1.308,1.808,1.269
Burnley,Tottenham,2,1,1.038,2.308,9,12,1.115,2.077,1.808,0.962
Leicester,Crystal Palace,1,4,1.231,1.038,1,5,1.192,1.038,1.308,1.308
Newcastle,Huddersfield,2,0,0.962,0.423,7,1,0.846,0.538,1.308,1.846
Arsenal,Southampton,2,0,1.923,0.923,9,8,2.038,1.077,1.423,1.692
Man United,Liverpool,0,0,1.962,2.5,13,11,2.0,2.269,1.346,0.577
Cardiff,Everton,0,3,0.926,1.222,6,3,0.926,1.333,1.926,1.444
Huddersfield,Wolves,1,0,0.407,1.481,0,11,0.519,1.296,1.852,1.259
Leicester,Brighton,2,1,1.185,1.038,1,1,1.185,1.077,1.407,1.5
Newcastle,Burnley,2,0,1.037,1.111,10,9,0.889,1.148,1.259,1.778
Arsenal,Bournemouth,5,1,1.963,1.259,12,7,2.037,1.407,1.37,1.778
Chelsea,Tottenham,2,0,1.923,2.222,6,12,1.731,2.037,1.115,1.0
Crystal Palace,Man United,1,3,1.111,1.926,8,11,1.148,1.926,1.296,1.296
Liverpool,Watford,5,0,2.444,1.481,9,8,2.185,1.444,0.556,1.296
Man City,West Ham,1,0,2.407,1.333,12,5,2.741,1.296,0.741,1.481
Southampton,Fulham,2,0,0.889,0.63,5,3,1.037,0.963,1.704,2.259
Bournemouth,Man City,0,1,1.214,2.429,4,12,1.393,2.679,1.893,0.714
Brighton,Huddersfield,1,0,1.0,0.5,1,3,1.074,0.536,1.519,1.786
Burnley,Crystal Palace,1,3,1.071,1.071,8,8,1.107,1.143,1.786,1.357
Man United,Southampton,3,2,1.964,0.964,11,5,1.964,1.071,1.286,1.643
Tottenham,Arsenal,1,1,2.143,2.0,9,12,1.964,2.143,1.036,1.357
West Ham,Newcastle,2,0,1.286,1.107,5,10,1.25,0.929,1.464,1.214
Wolves,Cardiff,2,0,1.429,0.893,8,6,1.25,0.893,1.25,1.964
Everton,Liverpool,0,0,1.286,2.464,6,9,1.393,2.286,1.393,0.536
Fulham,Chelsea,1,2,0.607,1.963,3,6,0.929,1.741,2.25,1.074
Watford,Leicester,2,1,1.429,1.25,7,4,1.393,1.214,1.429,1.393
Cardiff,West Ham,2,0,0.862,1.345,6,8,0.862,1.276,1.966,1.414
Crystal Palace,Brighton,1,2,1.138,1.071,10,4,1.207,1.071,1.345,1.464
Huddersfield,Bournemouth,0,2,0.483,1.172,3,1,0.517,1.345,1.759,1.862
Leicester,Fulham,3,1,1.207,0.586,3,0,1.207,0.931,1.414,2.241
Man City,Watford,3,1,2.448,1.483,15,10,2.621,1.414,0.69,1.414
Newcastle,Everton,3,2,1.069,1.276,7,4,0.897,1.345,1.241,1.345
Southampton,Tottenham,2,1,0.931,2.103,4,7,1.103,1.931,1.69,1.034
Arsenal,Man United,2,0,1.966,2.0,10,13,2.103,2.0,1.345,1.31
Chelsea,Wolves,1,1,2.0,1.483,9,8,1.75,1.276,1.071,1.207
Liverpool,Burnley,4,2,2.414,1.034,9,7,2.207,1.103,0.517,1.828
Bournemouth,Newcastle,2,2,1.233,1.133,4,10,1.367,0.967,1.8,1.267
Burnley,Leicester,1,2,1.0,1.267,6,6,1.133,1.267,1.9,1.4
West Ham,Huddersfield,4,3,1.3,0.467,7,3,1.233,0.5,1.433,1.767
Everton,Chelsea,2,0,1.233,1.966,4,10,1.367,1.724,1.4,1.069
Fulham,Liverpool,1,2,0.567,2.433,0,11,0.933,2.267,2.267,0.567
Brighton,Southampton,0,1,1.138,1.0,7,6,1.103,1.133,1.448,1.667
Burnley,Wolves,2,0,0.968,1.467,3,6,1.129,1.267,1.903,1.2
Crystal Palace,Huddersfield,2,0,1.1,0.452,7,3,1.2,0.581,1.367,1.839
Fulham,Man City,0,2,0.548,2.467,0,15,0.935,2.633,2.258,0.7
Leicester,Bournemouth,2,0,1.323,1.226,9,5,1.29,1.387,1.387,1.806
Man United,Watford,2,1,1.933,1.433,10,9,1.933,1.4,1.333,1.467
West Ham,Everton,0,2,1.355,1.29,9,7,1.323,1.387,1.484,1.355
Cardiff,Chelsea,1,2,0.933,1.9,6,7,0.9,1.667,1.9,1.1
Liverpool,Tottenham,2,1,2.452,2.033,11,4,2.258,1.9,0.581,1.067
Arsenal,Newcastle,2,0,2.0,1.129,13,10,2.1,1.0,1.3,1.29
Watford,Fulham,4,1,1.387,0.531,6,0,1.387,0.906,1.484,2.25
Wolves,Man United,2,1,1.419,1.968,5,10,1.226,1.935,1.226,1.323
Chelsea,Brighton,3,0,1.935,1.1,10,6,1.677,1.067,1.097,1.433
Man City,Cardiff,2,0,2.484,0.903,15,3,2.613,0.903,0.677,1.903
Tottenham,Crystal Palace,2,0,1.968,1.161,1,9,1.871,1.226,1.097,1.323
Southampton,Liverpool,1,3,1.065,2.469,9,13,1.129,2.25,1.613,0.594
Bournemouth,Burnley,1,3,1.188,1.031,4,3,1.344,1.156,1.812,1.844
Huddersfield,Leicester,1,4,0.438,1.375,3,12,0.562,1.312,1.844,1.344
Newcastle,Crystal Palace,0,1,1.094,1.125,7,6,0.969,1.188,1.312,1.344
Everton,Arsenal,1,0,1.344,2.032,10,13,1.406,2.097,1.312,1.258
Chelsea,West Ham,2,0,1.969,1.312,10,6,1.719,1.281,1.062,1.5
Leicester,Newcastle,0,1,1.424,1.061,12,4,1.394,0.939,1.333,1.303
Brighton,Bournemouth,0,5,1.065,1.152,6,4,1.032,1.333,1.484,1.848
Burnley,Cardiff,2,0,1.091,0.875,6,3,1.212,0.875,1.818,1.906
Fulham,Everton,2,0,0.515,1.394,0,10,0.909,1.394,2.303,1.273
Man United,West Ham,2,1,1.906,1.273,9,6,1.906,1.242,1.344,1.515
Southampton,Wolves,3,1,1.031,1.469,9,7,1.125,1.25,1.656,1.219
Tottenham,Huddersfield,4,0,2.0,0.424,4,0,1.875,0.576,1.062,1.909
Crystal Palace,Man City,1,3,1.182,2.5,9,15,1.182,2.594,1.303,0.656
Liverpool,Chelsea,2,0,2.485,2.0,13,10,2.273,1.727,0.606,1.03
Watford,Arsenal,0,1,1.438,1.969,6,10,1.469,2.031,1.469,1.25
Brighton,Cardiff,0,2,1.031,0.848,6,3,1.0,0.848,1.594,1.909
Bournemouth,Fulham,0,1,1.206,0.588,7,3,1.441,0.941,1.794,2.235
Huddersfield,Watford,1,2,0.412,1.394,0,6,0.559,1.424,1.971,1.455
Man City,Tottenham,1,0,2.515,2.03,15,7,2.606,1.939,0.667,1.03
Newcastle,Southampton,3,1,1.118,1.091,7,9,0.941,1.182,1.265,1.636
West Ham,Leicester,2,2,1.235,1.382,3,12,1.235,1.353,1.529,1.324
Wolves,Brighton,0,0,1.424,1.0,7,3,1.242,0.97,1.273,1.606
Arsenal,Crystal Palace,2,3,2.0,1.147,10,6,2.0,1.176,1.212,1.353
Cardiff,Liverpool,0,2,0.912,2.5,6,15,0.882,2.265,1.853,0.588
Everton,Man United,4,0,1.353,1.939,9,9,1.353,1.909,1.294,1.333
Chelsea,Burnley,2,2,1.941,1.147,9,9,1.676,1.235,1.059,1.765
Tottenham,Brighton,1,0,1.971,1.0,6,1,1.882,0.941,1.029,1.559
Watford,Southampton,1,1,1.441,1.059,6,9,1.441,1.176,1.441,1.676
Man United,Man City,0,2,1.882,2.529,6,15,1.853,2.559,1.412,0.647
Wolves,Arsenal,3,1,1.412,1.941,5,9,1.206,2.0,1.235,1.265
Liverpool,Huddersfield,5,0,2.514,0.4,15,0,2.257,0.571,0.571,1.971
Brighton,Newcastle,1,1,0.971,1.171,1,7,0.914,1.0,1.543,1.257
Crystal Palace,Everton,0,0,1.2,1.4,9,12,1.229,1.429,1.371,1.257
Fulham,Cardiff,1,0,0.657,0.886,6,3,0.943,0.857,2.171,1.857
Southampton,Bournemouth,3,3,1.057,1.171,7,4,1.171,1.4,1.657,1.771
Tottenham,West Ham,0,1,2.0,1.229,9,4,1.857,1.257,1.0,1.543
Watford,Wolves,1,2,1.429,1.457,7,7,1.429,1.257,1.429,1.229
Burnley,Man City,0,1,1.143,2.543,10,15,1.257,2.543,1.771,0.629
Leicester,Arsenal,3,0,1.371,1.886,10,6,1.371,1.971,1.343,1.314
Man United,Chelsea,1,1,1.829,1.914,6,10,1.8,1.686,1.429,1.086
Everton,Burnley,2,0,1.389,1.111,10,10,1.389,1.222,1.222,1.75
Bournemouth,Tottenham,1,0,1.167,1.944,4,9,1.444,1.806,1.806,1.0
Cardiff,Crystal Palace,2,3,0.861,1.194,3,7,0.833,1.194,1.833,1.333
Newcastle,Liverpool,2,3,1.167,2.528,7,15,1.0,2.333,1.25,0.556
West Ham,Southampton,3,0,1.278,1.056,4,5,1.25,1.222,1.5,1.694
Wolves,Fulham,1,0,1.5,0.722,10,9,1.278,0.944,1.222,2.111
Arsenal,Brighton,1,1,1.833,0.972,3,2,1.917,0.917,1.361,1.528
Chelsea,Watford,3,0,1.889,1.389,8,7,1.667,1.417,1.083,1.444
Huddersfield,Man United,1,1,0.389,1.806,0,4,0.556,1.778,2.056,1.417
Man City,Leicester,1,0,2.556,1.417,15,10,2.5,1.417,0.611,1.306
Brighton,Man City,1,4,0.973,2.568,3,15,0.919,2.459,1.514,0.595
Burnley,Arsenal,1,3,1.081,1.811,7,4,1.189,1.892,1.757,1.351
Crystal Palace,Bournemouth,5,3,1.243,1.216,10,7,1.243,1.432,1.351,1.757
Fulham,Newcastle,0,4,0.703,1.135,9,7,0.919,1.027,2.081,1.297
Leicester,Chelsea,0,0,1.378,1.919,7,8,1.378,1.703,1.297,1.054
Liverpool,Wolves,2,0,2.541,1.541,15,10,2.351,1.27,0.595,1.189
Man United,Cardiff,0,2,1.784,0.838,5,3,1.757,0.865,1.405,1.865
Southampton,Huddersfield,1,1,1.027,0.405,5,1,1.189,0.568,1.73,2.027
Tottenham,Everton,2,2,1.892,1.432,6,10,1.757,1.405,1.0,1.189
Watford,West Ham,1,4,1.351,1.324,4,7,1.378,1.297,1.486,1.459
